interval_start,date,region_id,rrp,demand_mw,is_peak
2025-01-18 00:00:00,2025-01-18,NSW1,17.8,5191.9,false
2025-01-18 00:00:00,2025-01-18,QLD1,26.14,3972.7,false
2025-01-18 00:00:00,2025-01-18,VIC1,42.4,3508.3,false
2025-01-18 00:00:00,2025-01-18,SA1,36.28,1186.9,false
2025-01-18 00:00:00,2025-01-18,TAS1,26.68,772.7,false
2025-01-18 00:05:00,2025-01-18,NSW1,23.51,4939.5,false
2025-01-18 00:05:00,2025-01-18,QLD1,26.58,4261.2,false
2025-01-18 00:05:00,2025-01-18,VIC1,19.07,3222.7,false
2025-01-18 00:05:00,2025-01-18,SA1,44.51,1104.5,false
2025-01-18 00:05:00,2025-01-18,TAS1,23.88,685.8,false
2025-01-18 00:10:00,2025-01-18,NSW1,37.71,5253.7,false
2025-01-18 00:10:00,2025-01-18,QLD1,18.21,3510.0,false
2025-01-18 00:10:00,2025-01-18,VIC1,15.76,3502.6,false
2025-01-18 00:10:00,2025-01-18,SA1,36.84,1071.5,false
2025-01-18 00:10:00,2025-01-18,TAS1,21.15,717.0,false
2025-01-18 00:15:00,2025-01-18,NSW1,34.42,5659.3,false
2025-01-18 00:15:00,2025-01-18,QLD1,40.06,4289.2,false
2025-01-18 00:15:00,2025-01-18,VIC1,36.86,2866.8,false
2025-01-18 00:15:00,2025-01-18,SA1,35.72,1064.4,false
2025-01-18 00:15:00,2025-01-18,TAS1,35.08,720.0,false
2025-01-18 00:20:00,2025-01-18,NSW1,27.32,5505.7,false
2025-01-18 00:20:00,2025-01-18,QLD1,28.22,4777.8,false
2025-01-18 00:20:00,2025-01-18,VIC1,23.23,3276.1,false
2025-01-18 00:20:00,2025-01-18,SA1,31.81,1187.1,false
2025-01-18 00:20:00,2025-01-18,TAS1,21.16,657.3,false
2025-01-18 00:25:00,2025-01-18,NSW1,16.34,5270.9,false
2025-01-18 00:25:00,2025-01-18,QLD1,22.02,4194.9,false
2025-01-18 00:25:00,2025-01-18,VIC1,26.68,3407.2,false
2025-01-18 00:25:00,2025-01-18,SA1,18.66,957.6,false
2025-01-18 00:25:00,2025-01-18,TAS1,27.1,708.3,false
2025-01-18 00:30:00,2025-01-18,NSW1,29.9,5667.0,false
2025-01-18 00:30:00,2025-01-18,QLD1,16.11,4586.2,false
2025-01-18 00:30:00,2025-01-18,VIC1,28.41,3671.6,false
2025-01-18 00:30:00,2025-01-18,SA1,32.77,1168.4,false
2025-01-18 00:30:00,2025-01-18,TAS1,19.11,747.3,false
2025-01-18 00:35:00,2025-01-18,NSW1,34.64,5079.2,false
2025-01-18 00:35:00,2025-01-18,QLD1,25.34,3636.2,false
2025-01-18 00:35:00,2025-01-18,VIC1,40.14,3785.2,false
2025-01-18 00:35:00,2025-01-18,SA1,43.05,844.1,false
2025-01-18 00:35:00,2025-01-18,TAS1,26.67,694.6,false
2025-01-18 00:40:00,2025-01-18,NSW1,30.57,5360.3,false
2025-01-18 00:40:00,2025-01-18,QLD1,14.44,4134.7,false
2025-01-18 00:40:00,2025-01-18,VIC1,16.58,3246.4,false
2025-01-18 00:40:00,2025-01-18,SA1,46.14,1049.9,false
2025-01-18 00:40:00,2025-01-18,TAS1,22.02,793.5,false
2025-01-18 00:45:00,2025-01-18,NSW1,30.58,4929.0,false
2025-01-18 00:45:00,2025-01-18,QLD1,29.71,4125.2,false
2025-01-18 00:45:00,2025-01-18,VIC1,29.11,3386.8,false
2025-01-18 00:45:00,2025-01-18,SA1,46.39,965.8,false
2025-01-18 00:45:00,2025-01-18,TAS1,29.67,744.8,false
2025-01-18 00:50:00,2025-01-18,NSW1,35.73,5565.4,false
2025-01-18 00:50:00,2025-01-18,QLD1,25.51,3860.4,false
2025-01-18 00:50:00,2025-01-18,VIC1,39.59,3673.4,false
2025-01-18 00:50:00,2025-01-18,SA1,55.65,1127.5,false
2025-01-18 00:50:00,2025-01-18,TAS1,26.43,734.5,false
2025-01-18 00:55:00,2025-01-18,NSW1,25.52,5110.9,false
2025-01-18 00:55:00,2025-01-18,QLD1,20.25,4318.3,false
2025-01-18 00:55:00,2025-01-18,VIC1,29.22,3602.1,false
2025-01-18 00:55:00,2025-01-18,SA1,23.84,1148.5,false
2025-01-18 00:55:00,2025-01-18,TAS1,28.45,864.7,false
2025-01-18 01:00:00,2025-01-18,NSW1,38.39,4293.9,false
2025-01-18 01:00:00,2025-01-18,QLD1,32.1,3906.0,false
2025-01-18 01:00:00,2025-01-18,VIC1,35.65,3169.0,false
2025-01-18 01:00:00,2025-01-18,SA1,42.27,977.7,false
2025-01-18 01:00:00,2025-01-18,TAS1,27.79,806.7,false
2025-01-18 01:05:00,2025-01-18,NSW1,429.57,4735.0,false
2025-01-18 01:05:00,2025-01-18,QLD1,152.22,3591.8,false
2025-01-18 01:05:00,2025-01-18,VIC1,36.24,3654.8,false
2025-01-18 01:05:00,2025-01-18,SA1,48.14,1184.6,false
2025-01-18 01:05:00,2025-01-18,TAS1,26.94,683.5,false
2025-01-18 01:10:00,2025-01-18,NSW1,406.55,5515.6,false
2025-01-18 01:10:00,2025-01-18,QLD1,29.15,3774.4,false
2025-01-18 01:10:00,2025-01-18,VIC1,26.01,3577.4,false
2025-01-18 01:10:00,2025-01-18,SA1,46.16,971.9,false
2025-01-18 01:10:00,2025-01-18,TAS1,27.71,709.4,false
